FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
025192,ウィンドプロファイラデータ品質管理情報,1,品質良好,,,,,Local
025192,ウィンドプロファイラデータ品質管理情報,2,時空間チェック（二次曲面チェック）による品質不良,,,,,Local
025192,ウィンドプロファイラデータ品質管理情報,3,鉛直シアーチェックによる品質不良,,,,,Local
025192,ウィンドプロファイラデータ品質管理情報,4,空間比較チェックによる品質不良,,,,,Local
025192,ウィンドプロファイラデータ品質管理情報,5,取得率チェックによる品質不良,,,,,Local
025192,ウィンドプロファイラデータ品質管理情報,6,資料不足による品質不良,,,,,Local
025192,ウィンドプロファイラデータ品質管理情報,7,その他の理由による品質不良,,,,,Local
025192,ウィンドプロファイラデータ品質管理情報,8,欠測,,,,,Local
025199,障害状況識別符,0,正常,正常（雨（無線））／正常（雨（有線））／正常（積雪）,,,,Local
025199,障害状況識別符,1,符号送信器異常,符号送信器異常（雨（無線））／符号送信器異常（雨（有線））／符号送信器異常（積雪）,,,,Local
025199,障害状況識別符,2,停電,停電（雨（無線））／停電（雨（有線））／停電（積雪）,,,,Local
025199,障害状況識別符,3,電源回路異常・ヒューズ断,送信局試験信号異常（雨（無線））／電源回路異常・ヒューズ断（雨（有線））／電源回路異常・ヒューズ断（積雪）,,,,Local
025199,障害状況識別符,4,雨量計ヒーター異常（暖候期）,電源回路異常・ヒューズ断（雨（無線））／雨量計ヒーター異常（暖候期）（雨（有線））／通風筒ファン停止（積雪）,,,,Local
025199,障害状況識別符,5,停電，電源回路異常・ヒューズ断,停電，送信局試験信号異常（雨（無線））／停電，電源回路異常・ヒューズ断（雨（有線））／停電，電源回路異常・ヒューズ断（積雪）,,,,Local
025199,障害状況識別符,6,,停電，電源回路異常・ヒューズ断（雨（無線））／／停電，通風筒ファン停止（積雪）,,,,Local
025199,障害状況識別符,7,電源回路異常・ヒューズ断，雨量計ヒーター異常（暖候期）,送信局試験信号異常，電源回路異常・ヒューズ断（雨（無線））／電源回路異常・ヒューズ断，雨量計ヒーター異常（暖候期）（雨（有線））／停電，電源回路異常・ヒューズ断，通風筒ファン停止（積雪）,,,,Local
025199,障害状況識別符,8,端末無応答，回線障害等による欠測,,,,,Local
025199,障害状況識別符,9,話中による欠測,,,,,Local
025199,障害状況識別符,10,フォーマットエラーによる欠測,,,,,Local
025199,障害状況識別符,11,計画停止のため閉局直前のデータの修正報（雨（無線ロボット），積雪）,,,,,Local
025199,障害状況識別符,12-30,保留,,,,,Local
025199,障害状況識別符,31,欠測,,,,,Local
025201,降水量のAQC識別符,0,メーター値正常で0.1位値なし,,,,,Local
025201,降水量のAQC識別符,1,統計又は10分値AQCエラー,,,,,Local
025201,降水量のAQC識別符,2,統計及び10分値AQCでともにエラー,,,,,Local
025201,降水量のAQC識別符,3,感部接点不良,,,,,Local
025201,降水量のAQC識別符,4,感部ヒーター断,,,,,Local
025201,降水量のAQC識別符,5,メーター値正常で前1時間降水量がRRR−0.5mm,,,,,Local
025201,降水量のAQC識別符,6,メーター値正常で前1時間降水量がRRR−0.0mm,,,,,Local
025201,降水量のAQC識別符,7,メーター値正常で前1時間降水量がRRR＋0.5mm,,,,,Local
025201,降水量のAQC識別符,8-11,保留,,,,,Local
025201,降水量のAQC識別符,12,メーター値欠測,,,,,Local
025201,降水量のAQC識別符,13,要素別障害休止,,,,,Local
025201,降水量のAQC識別符,14,保留,,,,,Local
025201,降水量のAQC識別符,15,欠測,,,,,Local
025202,風向の論理チェック識別符,0,正常,,,,,Local
025202,風向の論理チェック識別符,1,風向>360,,,,,Local
025202,風向の論理チェック識別符,2,保留,,,,,Local
025202,風向の論理チェック識別符,3,感部の回線断（平成2年度整備以降は北）,,,,,Local
025202,風向の論理チェック識別符,4-11,保留,,,,,Local
025202,風向の論理チェック識別符,12,風向欠測,,,,,Local
025202,風向の論理チェック識別符,13,要素別障害休止,,,,,Local
025202,風向の論理チェック識別符,14,保留,,,,,Local
025202,風向の論理チェック識別符,15,欠測,,,,,Local
025203,風速のAQC識別符,0,正常,,,,,Local
025203,風速のAQC識別符,1,統計又は10分値AQCエラー,,,,,Local
025203,風速のAQC識別符,2,統計及び10分値AQCでともにエラー,,,,,Local
025203,風速のAQC識別符,3,感部の回線断（風速はカームとなる）,,,,,Local
025203,風速のAQC識別符,4-11,保留,,,,,Local
025203,風速のAQC識別符,12,風速欠測,,,,,Local
025203,風速のAQC識別符,13,要素別障害休止,,,,,Local
025203,風速のAQC識別符,14,保留,,,,,Local
025203,風速のAQC識別符,15,欠測,,,,,Local
025204,気温のAQC識別符,0,正常,,,,,Local
025204,気温のAQC識別符,1,統計又は10分値AQCエラー,,,,,Local
025204,気温のAQC識別符,2,統計及び10分値AQCでともにエラー,,,,,Local
025204,気温のAQC識別符,3,保留,,,,,Local
025204,気温のAQC識別符,4,通風筒ファン停止,,,,,Local
025204,気温のAQC識別符,5-11,保留,,,,,Local
025204,気温のAQC識別符,12,気温欠測,,,,,Local
025204,気温のAQC識別符,13,要素別障害休止,,,,,Local
025204,気温のAQC識別符,14,保留,,,,,Local
025204,気温のAQC識別符,15,欠測,,,,,Local
025205,日照の論理チェック識別符,0,正常,,,,,Local
025205,日照の論理チェック識別符,1,論理エラー >31（1時間値）,,,,,Local
025205,日照の論理チェック識別符,2,論理エラー >6（10分値）,,,,,Local
025205,日照の論理チェック識別符,3-11,保留,,,,,Local
025205,日照の論理チェック識別符,12,日照欠測,,,,,Local
025205,日照の論理チェック識別符,13,要素別障害休止,,,,,Local
025205,日照の論理チェック識別符,14,保留,,,,,Local
025205,日照の論理チェック識別符,15,欠測,,,,,Local
025206,積雪の深さのAQC識別符,0,正常,,,,,Local
025206,積雪の深さのAQC識別符,1,統計又は10分値AQCエラー,,,,,Local
