ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
26,非座標位置（時間軸）,026192,日,日,0,0,5,日,0,2,,,Local
26,非座標位置（時間軸）,026193,時,時,0,0,5,時,0,2,,,Local
26,非座標位置（時間軸）,026194,分,分,0,0,6,分,0,2,,,Local
26,非座標位置（時間軸）,026195,日降水量１㎜以上の日数,数値,1,0,9,,,,,,Local
26,非座標位置（時間軸）,026196,日降水量１０㎜以上の日数,数値,1,0,9,,,,,,Local
26,非座標位置（時間軸）,026197,日日照時間の平年比が４０％以上の日数,数値,1,0,9,,,,,,Local
26,非座標位置（時間軸）,026200,参照資料の年,年,0,0,12,,,,,,Local
26,非座標位置（時間軸）,026201,参照資料の月,月,0,0,4,,,,,,Local
26,非座標位置（時間軸）,026202,参照資料の日,日,0,0,6,,,,,,Local
26,非座標位置（時間軸）,026203,参照資料の時,時,0,0,5,,,,,,Local
26,非座標位置（時間軸）,026204,参照資料の分,分,0,0,6,,,,,,Local
