Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
01,Location and identification sequences,D01192,,,"B05192","緯度（度）",,,Local
01,Location and identification sequences,D01192,,,"B05193","緯度（分）",,,Local
01,Location and identification sequences,D01193,,,"B06192","経度（度）",,,Local
01,Location and identification sequences,D01193,,,"B06193","経度（分）",,,Local
01,Location and identification sequences,D01194,"（飛行場警報－標示部）",,"B01062","ＩＣＡＯ地点略号",,,Local
01,Location and identification sequences,D01194,"（飛行場警報－標示部）",,"D01011","日付（年，月，日）",,,Local
01,Location and identification sequences,D01194,"（飛行場警報－標示部）",,"D01012","時刻（時，分）",,,Local
01,Location and identification sequences,D01194,"（飛行場警報－標示部）",,"B08021","時間の特定",,,Local
01,Location and identification sequences,D01194,"（飛行場警報－標示部）",,"B01195","警報の種類",,,Local
01,Location and identification sequences,D01194,"（飛行場警報－標示部）",,"B01196","発表番号",,,Local
01,Location and identification sequences,D01194,"（飛行場警報－標示部）",,"B01197","作成の種類",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B01062","ＩＣＡＯ地点略号",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"D01011","日付（年，月，日）",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"D01012","時刻（時，分）",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B08195","時間の意味",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B26192","日",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B26193","時",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B26194","分",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B01196","発表番号",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B01197","作成の種類",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B01205","飛行場情報の種類",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B01206","飛行場情報の注意事項",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"R01000","１記述子の遅延反復",,,Local
01,Location and identification sequences,D01195,"（飛行場情報－標示部）",,"B01207","解除する飛行場情報の発表番号",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B01210","河川番号",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B01211","河川区分番号",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B01212","洪水予報種別",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B01196","発表番号",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B04193","年（ＪＳＴ）",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B04194","月（ＪＳＴ）",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B04195","日（ＪＳＴ）",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B04196","時（ＪＳＴ）",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B04197","分（ＪＳＴ）",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"R01000","１記述子の遅延反復",,,Local
01,Location and identification sequences,D01196,"（洪水予報－標示部）",,"B01209","洪水予報担当官署番号",,,Local
01,Location and identification sequences,D01197,"（洪水予報－対象河川部）",,"R04000","４記述子の遅延反復",,,Local
01,Location and identification sequences,D01197,"（洪水予報－対象河川部）",,"B01210","河川番号",,,Local
01,Location and identification sequences,D01197,"（洪水予報－対象河川部）",,"B01211","河川区分番号",,,Local
01,Location and identification sequences,D01197,"（洪水予報－対象河川部）",,"B01212","洪水予報種別",,,Local
01,Location and identification sequences,D01197,"（洪水予報－対象河川部）",,"B01196","発表番号",,,Local
