Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
走査モード（鉛直極座標）,,1,0,"最初の径線又は方位角上の格子点をｒの増加方向に走査",,,,Local
走査モード（鉛直極座標）,,1,1,"最初の径線又は方位角上の格子点をｒの減少方向に走査",,,,Local
走査モード（鉛直極座標）,,2,0,"最初の径線又は方位角上の格子点をφの増加方向に走査",,,,Local
走査モード（鉛直極座標）,,2,1,"最初の径線又は方位角上の格子点をφの減少方向に走査",,,,Local
走査モード（鉛直極座標）,,3,0,"ｒ方向の隣接格子点が連続",,,,Local
走査モード（鉛直極座標）,,3,1,"φ方向の隣接格子点が連続",,,,Local
走査モード（鉛直極座標）,,4,0,"すべての方位角を同方向に走査",,,,Local
走査モード（鉛直極座標）,,4,1,"隣接する方位角を逆方向に走査",,,,Local
走査モード（鉛直極座標）,,5,0,"すべての径線を同方向に走査",,,,Local
走査モード（鉛直極座標）,,5,1,"隣接する径線を逆方向に走査",,,,Local
走査モード（鉛直極座標）,,6,0,"隣接する径線又は仰角上の格子点の方位角は変位しない",,,,Local
走査モード（鉛直極座標）,,6,1,"隣接する径線又は仰角上の格子点の方位角は走査モード（フラグ表ＪＭＡ３．１）に従う",,,,Local
走査モード（鉛直極座標）,,7-8,,保留,,,,Local
