Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
正距方位図法（オフセット付き）,15,1,地球の形状,(see Code table 3.2),,3.2,,Local
正距方位図法（オフセット付き）,16,1,地球球体の半径の尺度因子,,,,,Local
正距方位図法（オフセット付き）,17-20,4,地球球体の尺度付き半径,,,,,Local
正距方位図法（オフセット付き）,21,1,地球回転楕円体の長軸の尺度因子,,,,,Local
正距方位図法（オフセット付き）,22-25,4,地球回転楕円体の長軸の尺度付きの長さ,,,,,Local
正距方位図法（オフセット付き）,26,1,地球回転楕円体の短軸の尺度因子,,,,,Local
正距方位図法（オフセット付き）,27-30,4,地球回転楕円体の短軸の尺度付きの長さ,,,,,Local
正距方位図法（オフセット付き）,31-34,4,Nx－X軸に沿った格子点数,,,,,Local
正距方位図法（オフセット付き）,35-38,4,Ny－Y軸に沿った格子点数,,,,,Local
正距方位図法（オフセット付き）,39-42,4,La1－正接点 (tangency point) の緯度（格子の中心）,,,,,Local
正距方位図法（オフセット付き）,43-46,4,Lo1－正接点の経度,,,,,Local
正距方位図法（オフセット付き）,47,1,分解能及び成分フラグ,(see Flag table 3.3),,,3.3,Local
正距方位図法（オフセット付き）,48-51,4,Dx－軸上の格子点におけるX軸方向の格子の長さ（10^-3 m 単位）,,,,,Local
正距方位図法（オフセット付き）,52-55,4,Dy－軸上の格子点におけるY軸方向の格子の長さ（10^-3 m 単位）,,,,,Local
正距方位図法（オフセット付き）,56,1,投影の中心フラグ,,,,,Local
正距方位図法（オフセット付き）,57,1,走査モード,(see Flag table 3.4),,,3.4,Local
正距方位図法（オフセット付き）,58-61,4,正接点のX軸座標（10^-3 格子長を単位とする整数表現）,,,,,Local
正距方位図法（オフセット付き）,62-65,4,正接点のY軸座標（10^-3 格子長を単位とする整数表現）,,,,,Local
