Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
降水短時間予報プロダクト,10,1,パラメータカテゴリー,,,,,Local
降水短時間予報プロダクト,11,1,パラメータ番号,,,,,Local
降水短時間予報プロダクト,12,1,作成処理の種類,,,,,Local
降水短時間予報プロダクト,13,1,背景作成処理識別符,,,,,Local
降水短時間予報プロダクト,14,1,予報の作成処理識別符,,,,,Local
降水短時間予報プロダクト,15-16,2,観測資料の参照時刻からの締切時間（時）,,,,,Local
降水短時間予報プロダクト,17,1,観測資料の参照時刻からの締切時間（分）,,,,,Local
降水短時間予報プロダクト,18,1,期間の単位の指示符,,,,,Local
降水短時間予報プロダクト,19-22,4,予報時間,,,,,Local
降水短時間予報プロダクト,23,1,第一固定面の種類,,,,,Local
降水短時間予報プロダクト,24,1,第一固定面の尺度因子,,,,,Local
降水短時間予報プロダクト,25-28,4,第一固定面の尺度付きの値,,,,,Local
降水短時間予報プロダクト,29,1,第二固定面の種類,,,,,Local
降水短時間予報プロダクト,30,1,第二固定面の尺度因子,,,,,Local
降水短時間予報プロダクト,31-34,4,第二固定面の尺度付きの値,,,,,Local
降水短時間予報プロダクト,35-36,2,全時間間隔の終了時（年）,,,,,Local
降水短時間予報プロダクト,37,1,全時間間隔の終了時（月）,,,,,Local
降水短時間予報プロダクト,38,1,全時間間隔の終了時（日）,,,,,Local
降水短時間予報プロダクト,39,1,全時間間隔の終了時（時）,,,,,Local
降水短時間予報プロダクト,40,1,全時間間隔の終了時（分）,,,,,Local
降水短時間予報プロダクト,41,1,全時間間隔の終了時（秒）,,,,,Local
降水短時間予報プロダクト,42,1,統計を算出するために使用した時間間隔を記述する期間の仕様の数,,,,,Local
降水短時間予報プロダクト,43-46,4,統計処理における欠測資料の総数,,,,,Local
降水短時間予報プロダクト,47,1,統計処理の種類,,,,,Local
降水短時間予報プロダクト,48,1,統計処理の時間増分の種類,,,,,Local
降水短時間予報プロダクト,49,1,統計処理の時間の単位の指示符,,,,,Local
降水短時間予報プロダクト,50-53,4,統計処理した期間の長さ,,,,,Local
降水短時間予報プロダクト,54,1,連続的な資料場間の増分に関する時間の単位の指示符,,,,,Local
降水短時間予報プロダクト,55-58,4,連続的な資料場間の時間の増分,,,,,Local
降水短時間予報プロダクト,59-66,8,レーダー等運用情報その１,,,,,Local
降水短時間予報プロダクト,67-74,8,レーダー等運用情報その２,,,,,Local
降水短時間予報プロダクト,75-82,8,雨量計運用情報,,,,,Local
降水短時間予報プロダクト,83-84,2,メソモデル予想値の結合比率の計算領域数N,,,,,Local
降水短時間予報プロダクト,85,1,メソモデル予想値の結合比率の尺度因子,,,,,Local
降水短時間予報プロダクト,86-87,2,領域のメソモデル予想値の結合比率,,,,,Local
降水短時間予報プロダクト,88-nn,,Nの値に応じて追加した各領域のメソモデル予想値の結合比率,,,,,Local
